Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,232,12120.1052,9816.5664,9697.2161,29404.8172,2654.966391,2483.903142
,,,,,233,13658.6269,10017.4604,9895.6676,29279.6632,2848.526509,2623.61067
,,,,,234,13194.979,9835.6766,9716.0939,28456.2503,2848.526509,2623.61067
,,,,,235,12284.27,9421.9529,9307.4003,28072.5702,2848.526509,2623.61067
,,,,,236,12660.4705,9770.7695,9651.976,28569.4597,2848.526509,2623.61067
,,,,,237,12128.9541,9522.6031,9406.8267,28782.7514,2848.526509,2623.61067
,,,,,238,11146.7706,8995.6952,8886.325,30547.707,2654.966391,2623.61067
,,,,,239,10143.8245,8237.7562,8137.6011,28731.0434,2654.966391,2623.61067
,,,,,240,9182.7164,7592.8508,7500.5366,27088.9396,2654.966391,2623.61067
,,,,,241,8852.313,7079.8935,6993.8158,26492.1864,2552.820567,2474.626853
,,,,,242,8761.1788,6952.3738,6867.8464,26078.1435,2552.820567,2360.964226
,,,,,243,8761.1788,6952.3738,6867.8464,25588.788,2552.820567,2360.964226
,,,,,244,8761.1788,6952.3738,6867.8464,25588.788,2552.820567,2360.964226
,,,,,245,9114.7697,6952.3738,6867.8464,25588.788,2552.820567,2360.964226
,,,,,246,10720.0075,7883.487,7787.6391,26263.3513,2552.820567,2360.964226
,,,,,247,11738.8632,8460.1197,8357.2611,27247.8989,2552.820567,2474.626853
,,,,,248,11549.7045,8595.102,8490.6023,26964.2933,2552.820567,2474.626853
,,,,,249,11996.4296,9152.5887,9041.311,28092.556,2552.820567,2474.626853
,,,,,250,12267.103,9567.3048,9450.985,29292.8166,2552.820567,2474.626853
,,,,,251,12972.3702,10382.686,10256.4528,29768.3263,2872.98387,2474.626853
,,,,,252,12782.3997,9488.4149,9373.0542,29062.6478,2872.98387,2474.626853
,,,,,253,11716.4728,9325.6376,9212.256,28606.5907,2872.98387,2360.964226
,,,,,254,11865.8478,9529.8717,9414.0069,29205.9259,2872.98387,2360.964226
,,,,,255,11842.0599,9436.4629,9321.7339,29276.712,2872.98387,2360.964226
,,,,,256,12119.2307,9661.8557,9544.3863,29436.9451,2552.820567,2474.626853
,,,,,257,13679.0348,9858.9772,9739.1112,29324.859,2749.474924,2610.132833
,,,,,258,13213.6338,9680.607,9562.9097,28587.4226,2749.474924,2610.132833
,,,,,259,12286.3782,9274.6526,9161.8908,28243.8043,2749.474924,2610.132833
,,,,,260,12669.4139,9616.9188,9499.9958,28688.8112,2749.474924,2610.132833
,,,,,261,12128.2403,9373.4126,9259.4501,28879.8321,2749.474924,2610.132833
,,,,,262,11128.2115,8856.3994,8748.7228,30518.1513,2552.820567,2610.132833
,,,,,263,10107.0428,8112.6936,8014.059,28833.5232,2552.820567,2610.132833
,,,,,264,9128.4723,7479.8988,7388.9578,27362.8791,2552.820567,2610.132833
,,,,,265,8977.2015,6979.734,6894.874,26389.5941,2552.98971,2460.807075
,,,,,266,8887.8134,6857.9333,6774.5541,25996.5723,2552.98971,2347.941029
,,,,,267,8887.8134,6857.9333,6774.5541,25539.2514,2552.98971,2347.941029
,,,,,268,8887.8134,6857.9333,6774.5541,25539.2514,2552.98971,2347.941029
,,,,,269,9237.251,6857.9333,6774.5541,25539.2514,2552.98971,2347.941029
,,,,,270,10827.7654,7760.6589,7666.3044,26172.3771,2552.98971,2347.941029
,,,,,271,11837.2762,8321.0254,8219.8579,27106.9386,2552.98971,2460.807075
,,,,,272,11649.8525,8452.2,8349.4377,26837.7318,2552.98971,2460.807075
,,,,,273,12092.4802,8993.9604,8884.6114,27908.712,2552.98971,2460.807075
,,,,,274,12360.671,9396.9778,9282.7289,29048.0348,2552.98971,2460.807075
,,,,,275,13059.4694,10202.683,10078.6382,29499.4027,2922.825939,2460.807075
,,,,,276,12871.2414,9320.3133,9206.9964,28829.5518,2922.825939,2460.807075
,,,,,277,11815.0911,9162.1278,9050.7342,28396.6489,2922.825939,2347.941029
,,,,,278,11963.0961,9360.6006,9246.7939,28965.5556,2922.825939,2347.941029
,,,,,279,11939.5263,9269.8269,9157.1238,29032.7479,2922.825939,2347.941029
