Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,209,22027.18498,17251.04695,15453.96718,45210.15625,2880.526939,2626.367113
,,,,,210,21291.09604,18499.71581,15177.10939,43903.62164,2880.526939,2626.367113
,,,,,211,19840.07372,18196.4439,14547.00591,43294.82451,2880.526939,2626.367113
,,,,,212,20439.46971,17913.26524,15078.25554,44083.25443,2880.526939,2626.367113
,,,,,213,19592.61059,17606.21782,14700.29662,44421.691,2880.526939,2626.367113
,,,,,214,18027.70884,17405.9987,13897.81301,47293.73498,2703.75985,2626.367113
,,,,,215,16429.72619,16156.54302,12743.46769,44339.64437,2703.75985,2626.367113
,,,,,216,14898.40357,15267.07801,11761.27332,41734.06743,2703.75985,2626.367113
,,,,,217,14627.22419,14253.32277,11103.79477,40199.89868,2776.960581,2482.247025
,,,,,218,14495.511,14059.57429,10907.37582,39448.9553,2776.960581,2371.62512
,,,,,219,14495.511,14059.57429,10907.37582,38547.62652,2776.960581,2371.62512
,,,,,220,14495.511,14059.57429,10907.37582,38547.62652,2776.960581,2371.62512
,,,,,221,15025.81311,14084.90807,10907.37582,38547.62652,2776.960581,2371.62512
,,,,,222,17463.6628,15167.71353,12362.50351,39784.86396,2776.960581,2371.62512
,,,,,223,19010.98331,16701.13997,13265.71226,41570.52282,2776.960581,2482.247025
,,,,,224,18723.71091,16434.9854,13477.14185,41056.15168,2776.960581,2482.247025
,,,,,225,19402.14542,16296.57007,14350.36108,43102.46446,2776.960581,2482.247025
,,,,,226,19813.21293,16518.53268,14999.95178,45279.35886,2776.960581,2482.247025
,,,,,227,20884.29132,17485.74445,16298.12795,46141.78358,3128.071813,2482.247025
,,,,,228,20595.78602,17722.73052,14876.3825,44861.90509,3128.071813,2482.247025
,,,,,229,18976.97932,16732.76828,14621.41629,44034.76134,3128.071813,2371.62512
,,,,,230,19203.83285,16264.43029,14941.31833,45121.76656,3128.071813,2371.62512
,,,,,231,19167.70653,16774.82257,14795.00755,45250.15022,3128.071813,2371.62512
,,,,,232,19588.64148,16740.35819,15148.05152,45540.76253,2776.960581,2482.247025
,,,,,233,21982.2476,17174.44823,15456.81279,45337.47365,2992.896073,2615.008548
,,,,,234,21250.69461,18512.5776,15177.42268,43999.99642,2992.896073,2615.008548
,,,,,235,19842.48581,18196.29661,14541.55586,43376.78115,2992.896073,2615.008548
,,,,,236,20424.19622,17890.21814,15077.66465,44183.88344,2992.896073,2615.008548
,,,,,237,19602.32426,17558.34071,14696.24867,44530.33519,2992.896073,2615.008548
,,,,,238,18083.59603,17341.93047,13886.42502,47447.9552,2776.960581,2615.008548
,,,,,239,16532.76293,15991.43504,12721.5213,44446.34545,2776.960581,2615.008548
,,,,,240,15046.62307,15030.04164,11730.34314,41779.06071,2776.960581,2615.008548
,,,,,241,14435.62962,14167.51879,11061.77692,40137.9093,2870.489295,2475.20383
,,,,,242,14306.06919,13950.28795,10867.6783,39360.16542,2870.489295,2353.641135
,,,,,243,14306.06919,13950.28795,10867.6783,38417.99481,2870.489295,2353.641135
,,,,,244,14306.06919,13950.28795,10867.6783,38417.99481,2870.489295,2353.641135
